Serial,Latitude,Longitude,Type,SensorType,Code,BeginTime,EndTime,LAT,LNG
PI040298AD5J214534,-7.189,52.58,Thingful.Connectors.GROWSensors.WaterTankLevel,Flower Power,Grow.Thingful.Sensors_q2q9phn2,2018-09-10T14:39:03.000Z,2019-02-23T14:17:36.000Z,52.58,-7.189
PI040297AD5I210201,-3.252,56.537,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_7y6pppjy,2018-09-13T15:34:24.000Z,2018-10-09T12:03:33.000Z,56.537,-3.252
PI040297AD5I210201,-3.252,56.537,Thingful.Connectors.GROWSensors.BatteryLevel,Flower Power,Grow.Thingful.Sensors_7y6pppjy,2018-09-13T15:34:24.000Z,2018-10-09T12:03:33.000Z,56.537,-3.252
PI040297AD5I210201,-3.252,56.537,Thingful.Connectors.GROWSensors.FertilizerLevel,Flower Power,Grow.Thingful.Sensors_7y6pppjy,2018-09-13T15:34:24.000Z,2018-10-09T12:03:33.000Z,56.537,-3.252
PI040297AD5I210201,-3.252,56.537,Thingful.Connectors.GROWSensors.Light,Flower Power,Grow.Thingful.Sensors_7y6pppjy,2018-09-13T15:34:24.000Z,2018-10-09T12:03:33.000Z,56.537,-3.252
PI040297AD5I210201,-3.252,56.537,Thingful.Connectors.GROWSensors.SoilMoisture,Flower Power,Grow.Thingful.Sensors_7y6pppjy,2018-09-13T15:34:24.000Z,2018-10-09T12:03:33.000Z,56.537,-3.252
PI040297AD5I210201,-3.252,56.537,Thingful.Connectors.GROWSensors.WaterTankLevel,Flower Power,Grow.Thingful.Sensors_7y6pppjy,2018-09-13T15:34:24.000Z,2018-10-09T12:03:33.000Z,56.537,-3.252
PI040297AD5I209046,-3.252,56.536,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_59qzhs3v,2018-09-13T15:45:01.000Z,2019-02-24T11:23:57.000Z,56.536,-3.252
PI040297AD5I209046,-3.252,56.536,Thingful.Connectors.GROWSensors.BatteryLevel,Flower Power,Grow.Thingful.Sensors_59qzhs3v,2018-09-13T15:45:01.000Z,2019-02-24T11:23:57.000Z,56.536,-3.252
PI040297AD5I209046,-3.252,56.536,Thingful.Connectors.GROWSensors.FertilizerLevel,Flower Power,Grow.Thingful.Sensors_59qzhs3v,2018-09-13T15:45:01.000Z,2019-02-24T11:23:57.000Z,56.536,-3.252
